,title,release_year
1194,meet joe black,1998
1195,little man,2006
1196,charlie wilson's war,2007
1197,paint your wagon,1969
1198,leap year,2010
1199,blow,2001
1200,high fidelity,2000
1201,now you see me,2013
1202,shooter,2007
1203,looper,2012
1204,bound,1996
1205,cats & dogs,2001
1206,two weeks notice,2002
1207,spy game,2001
1208,what lies beneath,2000
1209,atlantis: the lost empire,2001
1210,little shop of horrors,1986
1211,jason x,2002
1212,dante's peak,1997
1213,repo man,1984
1214,million dollar arm,2014
1215,spirit: stallion of the cimarron,2002
1216,surrogates,2009
1217,black rain,1989
1218,our family wedding,2010
1219,we were soldiers,2002
1220,men of honor,2000
1221,return to me,2000
1222,colombiana,2011
1223,what's your number?,2011
1224,high crimes,2002
1225,ninja assassin,2009
1226,waterworld,1995
1227,hellboy,2004
1228,topaz,1969
1229,planet 51,2009
1230,hostage,2005
1231,clockstoppers,2002
1232,message in a bottle,1999
1233,nebraska,2013
1234,did you hear about the morgans?,2009
1235,nutty professor ii: the klumps,2000
1236,"for a good time, call...",2012
1237,state of play,2009
1238,beauty shop,2005
1239,haywire,2012
1240,battleship,2012
1241,superman returns,2006
1242,mars attacks!,1996
1243,30 minutes or less,2011
1244,force 10 from navarone,1978
1245,swordfish,2001
1246,the man from u.n.c.l.e.,2015
1247,max keeble's big move,2001
1248,three kings,1999
1249,run all night,2015
1250,rocknrolla,2008
1251,enemy at the gates,2001
1252,watchmen,2009
1253,snake eyes,1998
1254,malcolm x,1992
1255,stuart little 2,2002
1256,harry brown,2009
1257,vampire in brooklyn,1995
1258,master and commander: the far side of the world,2003
1259,hocus pocus,1993
1260,and so it goes,2014
1261,curious george,2006
1262,breakdown,1997
1263,pay it forward,2000
1264,admission,2013
1265,catch-22,1970
1266,gridiron gang,2006
1267,keanu,2016
1268,white house down,2013
1269,small soldiers,1998
1270,enough,2002
1271,just my luck,2006
1272,from dusk till dawn,1996
1273,extract,2009
1274,elizabeth: the golden age,2007
1275,poltergeist iii,1988
1276,jarhead,2005
1277,mulholland drive,2001
1278,wimbledon,2004
1279,willy wonka & the chocolate factory,1971
1280,robot & frank,2012
1281,going the distance,2010
1282,the bfg,2016
1283,magnolia,1999
1284,killers,2010
1285,wild wild west,1999
1286,priest,2011
1287,crazy/beautiful,2001
1288,seven psychopaths,2012
1289,the island,2005
1290,boys and girls,2000
1291,54,1998
1292,in the valley of elah,2007
1293,office space,1999
1294,midnight run,1988
1295,point blank,1967
1296,cloud atlas,2012
1297,raging bull,1980
1298,choke,2008
1299,brother,2000
1300,reds,1981
1301,hardball,2001
1302,dinner for schmucks,2010
1303,red,2010
1304,cinderella man,2005
1305,deep blue sea,1999
1306,snitch,2013
1307,tears of the sun,2003
1308,righteous kill,2008
1309,trance,2013
1310,mean creek,2004
1311,let me in,2010
1312,larry crowne,2011
1313,godsend,2004
1314,chain reaction,1996
1315,my life in ruins,2009
1316,seventh son,2015
1317,i think i love my wife,2007
1318,donnie brasco,1997
1319,tin cup,1996
1320,16 blocks,2006
1321,american history x,1998
1322,frailty,2001
1323,blade runner,1982
1324,dracula 2000,2000
1325,miss potter,2006
1326,disturbing behavior,1998
1327,random hearts,1999
1328,torque,2004
1329,fantastic mr. fox,2009
1330,tora! tora! tora!,1970
1331,dazed and confused,1993
1332,let's go to prison,2006
1333,happy feet two,2011
1334,starship troopers,1997
1335,tango & cash,1989
1336,blast from the past,1999
1337,steve jobs,2015
1338,alive,1993
1339,"happy, texas",1999
1340,200 cigarettes,1999
1341,ender's game,2013
1342,firestarter,1984
1343,poseidon,2006
1344,superman iv: the quest for peace,1987
1345,murder by numbers,2002
1346,rob roy,1995
1347,shopgirl,2005
1348,grudge match,2013
1349,zoolander 2,2016
1350,dreamcatcher,2003
1351,city island,2010
1352,reign over me,2007
1353,out of time,2003
1354,whip it,2009
1355,agent cody banks 2: destination london,2004
1356,boiler room,2000
1357,ice princess,2005
1358,carnage,2011
1359,tomorrowland,2015
1360,man on a ledge,2012
1361,confessions of a dangerous mind,2002
1362,green lantern,2011
1363,airborne,1993
1364,beerfest,2006
1365,sucker punch,2011
1366,"i, frankenstein",2014
1367,john carter,2012
1368,hugo,2011
1369,captain corelli's mandolin,2001
1370,danny collins,2015
1371,hidalgo,2004
1372,alexander,2004
1373,gods of egypt,2016
1374,living out loud,1998
1375,four rooms,1995
1376,case 39,2010
1377,eastern promises,2007
1378,drop dead gorgeous,1999
1379,kiss kiss bang bang,2005
1380,jupiter ascending,2015
1381,incendies,2010
1382,pride and glory,2008
1383,ultraviolet,2006
1384,shanghai noon,2000
1385,shadow of the vampire,2000
1386,jersey girl,2004
1387,transcendence,2014
1388,babylon a.d.,2008
1389,speed 2: cruise control,1997
1390,house of sand and fog,2003
1391,howard the duck,1986
1392,jawbreaker,1999
1393,deuce bigalow: european gigolo,2005
1394,basquiat,1996
1395,from paris with love,2010
1396,jack the giant slayer,2013
1397,appaloosa,2008
1398,stoker,2013
1399,absolute power,1997
1400,beautiful creatures,2013
1401,where the wild things are,2009
1402,win a date with tad hamilton!,2004
1403,serenity,2005
1404,raising helen,2004
1405,evan almighty,2007
1406,sex drive,2008
1407,true romance,1993
1408,exorcist: the beginning,2004
1409,bulworth,1998
1410,drowning mona,2000
1411,seeking a friend for the end of the world,2012
1412,g.i. jane,1997
1413,faster,2010
1414,inkheart,2008
1415,center stage,2000
1416,quest for camelot,1998
1417,green zone,2010
1418,bangkok dangerous,2008
1419,lars and the real girl,2007
1420,in the heart of the sea,2015
1421,bicentennial man,1999
1422,happiness,1998
1423,space battleship yamato,2010
1424,doom,2005
1425,untraceable,2008
1426,kingpin,1996
1427,soul plane,2004
1428,one for the money,2012
1429,warrior,2011
1430,collateral damage,2002
1431,ladyhawke,1985
1432,children of men,2006
1433,analyze that,2002
1434,elizabethtown,2005
1435,simon birch,1998
1436,1941,1979
1437,frankenweenie,2012
1438,hanging up,2000
1439,school for scoundrels,2006
1440,into the blue,2005
1441,premium rush,2012
1442,don juan demarco,1995
1443,ella enchanted,2004
1444,body double,1984
1445,hot tub time machine 2,2015
1446,away we go,2009
1447,killer elite,2011
1448,dragonfly,2002
1449,25th hour,2002
1450,red tails,2012
1451,talk radio,1988
1452,12 rounds,2009
1453,he got game,1998
1454,we need to talk about kevin,2011
1455,47 ronin,2013
1456,glengarry glen ross,1992
1457,charly,1968
1458,looney tunes: back in action,2003
1459,pan,2015
1460,basic,2003
1461,victor frankenstein,2015
1462,last holiday,2006
1463,"i love you, beth cooper",2009
1464,dark water,2005
1465,death sentence,2007
1466,escape from l.a.,1996
1467,meet dave,2008
1468,original sin,2001
1469,jack ryan: shadow recruit,2014
1470,what dreams may come,1998
1471,eurotrip,2004
1472,paparazzi,2004
1473,gremlins 2: the new batch,1990
1474,sky captain and the world of tomorrow,2004
1475,catwoman,2004
1476,dredd,2012
1477,ali,2001
1478,funny people,2009
1479,gamer,2009
1480,it's kind of a funny story,2010
1481,anywhere but here,1999
1482,bridget jones: the edge of reason,2004
1483,virtuosity,1995
1484,knockaround guys,2001
1485,scott pilgrim vs. the world,2010
1486,blindness,2008
1487,rock of ages,2012
1488,rent,2005
1489,almost famous,2000
1490,pulse,2006
1491,dragonslayer,1981
1492,mindhunters,2004
1493,speed racer,2008
1494,treasure planet,2002
1495,mandela: long walk to freedom,2013
1496,hearts in atlantis,2001
1497,flash gordon,1980
1498,dune,1984
1499,babe: pig in the city,1998
1500,duplicity,2009
1501,reindeer games,2000
1502,while we're young,2015
1503,ronin,1998
1504,riding in cars with boys,2001
1505,superhero movie,2008
1506,simply irresistible,1999
1507,flags of our fathers,2006
1508,mr. 3000,2004
1509,domestic disturbance,2001
1510,north country,2005
1511,reign of fire,2002
1512,leatherheads,2008
1513,aloha,2015
1514,cirque du freak: the vampire's assistant,2009
1515,home fries,1998
1516,mambo italiano,2003
1517,my stepmother is an alien,1988
1518,wanderlust,2012
1519,spanglish,2004
1520,fled,1996
1521,land of the lost,2009
1522,hollywood homicide,2003
1523,punch-drunk love,2002
1524,muppets from space,1999
1525,all is lost,2013
1526,mission to mars,2000
1527,windtalkers,2002
1528,alex cross,2012
1529,we are marshall,2006
1530,blow out,1981
1531,whatever it takes,2000
1532,around the world in 80 days,2004
1533,tusk,2014
1534,the finest hours,2016
1535,detroit rock city,1999
1536,gods and monsters,1998
1537,green room,2016
1538,sunshine,2007
1539,how to lose friends & alienate people,2008
1540,little black book,2004
1541,practical magic,1998
1542,final fantasy: the spirits within,2001
1543,undisputed,2002
1544,take shelter,2011
1545,the infiltrator,2016
1546,out cold,2001
1547,dark blue,2002
1548,i still know what you did last summer,1998
1549,stuck on you,2003
1550,krull,1983
1551,macgruber,2010
1552,renaissance man,1994
1553,antitrust,2001
1554,sin city: a dame to kill for,2014
1555,assassins,1995
1556,michael collins,1996
1557,serial mom,1994
1558,money train,1995
1559,club dread,2004
1560,pride and prejudice and zombies,2016
1561,serving sara,2002
1562,getaway,2013
1563,driven,2001
1564,summer catch,2001
1565,drive angry,2011
1566,man on the moon,1999
1567,fear and loathing in las vegas,1998
1568,repo men,2010
1569,lord of war,2005
1570,little children,2006
1571,stealth,2005
1572,my favorite martian,1999
1573,men with brooms,2002
1574,disaster movie,2008
1575,running with scissors,2006
1576,city by the sea,2002
1577,angel eyes,2001
1578,marvin's room,1996
1579,valiant,2005
1580,inherent vice,2014
1581,basic instinct 2,2006
1582,cursed,2005
1583,only the strong,1993
1584,lords of dogtown,2005
1585,deconstructing harry,1997
1586,igby goes down,2002
1587,funny games,2008
1588,blood work,2002
1589,your highness,2011
1590,walk hard: the dewey cox story,2007
1591,quills,2000
1592,everything must go,2011
1593,bright star,2009
1594,brokedown palace,1999
1595,mortdecai,2015
1596,ghosts of mars,2001
1597,sabotage,2014
1598,wonderland,2003
1599,punisher: war zone,2008
1600,shattered glass,2003
1601,titan a.e.,2000
1602,battlefield earth,2000
1603,robocop 3,1992
1604,pcu,1994
1605,duplex,2003
1606,winnie the pooh,2011
1607,suspect zero,2004
1608,moonlight mile,2002
1609,r.i.p.d.,2013
1610,flight of the phoenix,2004
1611,welcome to mooseport,2004
1612,for your consideration,2006
1613,hart's war,2002
1614,domino,2005
1615,slackers,2002
1616,extreme measures,1996
1617,showgirls,1995
1618,stop-loss,2008
1619,return to oz,1985
1620,event horizon,1997
1621,"jeff, who lives at home",2012
1622,big trouble in little china,1986
1623,sinbad: legend of the seven seas,2003
1624,mystery men,1999
1625,super mario bros.,1993
1626,wicker park,2004
1627,flushed away,2006
1628,thirteen days,2000
1629,stone,2010
1630,american dreamz,2006
1631,boat trip,2003
1632,life or something like it,2002
1633,red planet,2000
1634,girl 6,1996
1635,from justin to kelly,2003
1636,how do you know,2010
1637,under the skin,2013
1638,mrs. winterbourne,1996
1639,wyatt earp,1994
1640,zero effect,1998
1641,transsiberian,2008
1642,american outlaws,2001
1643,red sonja,1985
1644,australia,2008
1645,hackers,1995
1646,highlander,1986
1647,killer joe,2012
1648,gossip,2000
1649,take me home tonight,2011
1650,memoirs of an invisible man,1992
1651,videodrome,1983
1652,mallrats,1995
1653,gattaca,1997
1654,midnight special,2016
1655,kill list,2011
1656,novocaine,2001
1657,baby's day out,1994
1658,very bad things,1998
1659,ed wood,1994
1660,city of ember,2008
1661,harley davidson and the marlboro man,1991
1662,"mystery, alaska",1999
1663,sherrybaby,2006
1664,nixon,1995
1665,3000 miles to graceland,2001
1666,may,2003
1667,rock star,2001
1668,flyboys,2006
1669,romeo is bleeding,1993
1670,ballistic: ecks vs. sever,2002
1671,hard rain,1998
1672,barney's version,2010
1673,the interview,2014
1674,killing zoe,1994
1675,attack the block,2011
1676,red state,2011
1677,taxi to the dark side,2007
1678,white squall,1996
1679,equilibrium,2002
1680,hudson hawk,1991
1681,mary reilly,1996
1682,ishtar,1987
1683,mars needs moms,2011
1684,return to the blue lagoon,1991
1685,blackhat,2015
1686,hobo with a shotgun,2011
1687,session 9,2001
1688,deep rising,1998
1689,timeline,2003
1690,glitter,2001
1691,universal soldier: the return,1999
1692,sheena,1984
1693,gods and generals,2003
1694,jonah hex,2010
1695,alfie,2004
1696,mirrormask,2005
1697,donnie darko,2001
1698,mad city,1997
1699,turbulence,1997
1700,kundun,1997
1701,find me guilty,2006
1702,jade,1995
1703,soldier,1998
1704,existenz,1999
1705,the neon demon,2016
1706,osmosis jones,2001
1707,losin' it,1983
1708,jefferson in paris,1995
1709,switchback,1997
1710,sphere,1998
1711,bullet to the head,2013
1712,against the ropes,2004
1713,awake,2007
1714,idle hands,1999
1715,supernova,2000
1716,gun shy,2000
1717,tank girl,1995
1718,chill factor,1999
1719,coriolanus,2010
1720,gigli,2003
1721,radio flyer,1992
1722,super,2011
1723,the great raid,2005
1724,flipped,2010
1725,town & country,2001
1726,cats don't dance,1997
1727,steel,1997
1728,cutthroat island,1995
1729,shooting fish,1997
1730,veronica guerin,2003
1731,infamous,2006
1732,casino jack,2010
1733,bottle rocket,1996
1734,prefontaine,1997
1735,monkeybone,2001
1736,things to do in denver when you're dead,1995
1737,six-string samurai,1998
1738,it's all gone pete tong,2004
1739,swept away,2002
1740,hesher,2011
1741,fido,2006
1742,shadow conspiracy,1997
1743,maggie,2015
1744,world's greatest dad,2009
1745,doa: dead or alive,2006
1746,pontypool,2008
1747,idiocracy,2006
1748,special,2006
1749,major dundee,1965
1750,margaret,2011
1751,in the cut,2003
1752,chasing liberty,2004
1753,once upon a time in america,1984
1754,insidious: chapter 2,2013
1755,wild card,2015
1756,red 2,2013
1757,brazil,1985
1758,i origins,2014
1759,tinker tailor soldier spy,2011
1760,survivor,2015
1761,don jon,2013
1762,a million ways to die in the west,2014
1763,wild hogs,2007
1764,deliver us from evil,2014
1765,"definitely, maybe",2008
1766,modern times,1936
1767,here comes the boom,2012
1768,triangle,2009
1769,blue ruin,2013
1770,persepolis,2007
1771,splice,2010
1772,scooby-doo 2: monsters unleashed,2004
1773,george of the jungle,1997
1774,holes,2003
1775,scrooged,1988
1776,fruitvale station,2013
1777,my girl,1991
1778,eden lake,2008
1779,exam,2009
1780,my super ex-girlfriend,2006
1781,all good things,2010
1782,miss congeniality 2: armed and fabulous,2005
1783,girl with a pearl earring,2003
1784,arthur christmas,2011
1785,volcano,1997
1786,mona lisa smile,2003
1787,blades of glory,2007
1788,mercury rising,1998
1789,because i said so,2007
1790,little nicky,2000
1791,ghost dog: the way of the samurai,1999
1792,ghost town,2008
1793,son of the mask,2005
1794,martha marcy may marlene,2011
1795,be kind rewind,2008
1796,inspector gadget,1999
1797,drinking buddies,2013
1798,vampires,1998
1799,garfield: a tail of two kitties,2006
1800,frost/nixon,2008
1801,letters to juliet,2010
1802,stepmom,1998
1803,clueless,1995
1804,black knight,2001
1805,top five,2014
1806,the skeleton twins,2014
1807,bringing out the dead,1999
1808,frances ha,2013
1809,crocodile dundee ii,1988
1810,in good company,2004
1811,cyrus,2010
1812,bulletproof monk,2003
1813,drillbit taylor,2008
1814,secondhand lions,2003
1815,enough said,2013
1816,slow west,2015
1817,that thing you do!,1996
1818,proof of life,2000
1819,my boss's daughter,2003
1820,pale rider,1985
1821,edtv,1999
1822,copycat,1995
1823,40 days and 40 nights,2002
1824,ghost world,2001
1825,"mcfarland, usa",2015
1826,days of heaven,1978
1827,grosse pointe blank,1997
1828,wolf,1994
1829,snow dogs,2002
1830,election,1999
1831,youth in revolt,2010
1832,anna and the king,1999
1833,grave encounters,2011
1834,bowfinger,1999
1835,get on up,2014
1836,heavy metal,1981
1837,arlington road,1999
1838,dead man's shoes,2004
1839,beavis and butt-head do america,1996
1840,ordinary people,1980
1841,you will meet a tall dark stranger,2010
1842,everyone says i love you,1996
1843,imagine that,2009
1844,three men and a baby,1987
1845,private benjamin,1980
1846,lifeforce,1985
1847,they came together,2014
1848,police academy: mission to moscow,1994
1849,kate & leopold,2001
1850,in & out,1997
1851,taking woodstock,2009
1852,maurice,1987
1853,small time crooks,2000
1854,factory girl,2006
1855,quigley down under,1990
1856,control,2007
1857,bill & ted's bogus journey,1991
1858,death to smoochy,2002
1859,spy hard,1996
1860,sexy beast,2000
1861,darkness falls,2003
1862,multiplicity,1996
1863,silent running,1972
1864,best in show,2000
1865,silverado,1985
1866,motherhood,2009
1867,velvet goldmine,1998
1868,"sex, lies, and videotape",1989
1869,just visiting,2001
1870,"girl, interrupted",1999
1871,america's sweethearts,2001
1872,semi-pro,2008
1873,shine,1996
1874,my own private idaho,1991
1875,kangaroo jack,2003
1876,cedar rapids,2011
1877,much ado about nothing,1993
1878,dickie roberts: former child star,2003
1879,bubble boy,2001
1880,bubba ho-tep,2002
1881,confidence,2003
1882,envy,2004
1883,hamlet,1996
1884,pathology,2008
1885,stick it,2006
1886,me and you and everyone we know,2005
1887,plastic,2014
1888,ramona and beezus,2010
1889,for love of the game,1999
1890,impostor,2002
1891,grabbers,2012
1892,white oleander,2002
1893,miss march,2009
1894,holy man,1998
1895,varsity blues,1999
1896,christmas with the kranks,2004
1897,dirty pretty things,2002
1898,ravenous,1999
1899,primary colors,1998
1900,dirty work,1998
1901,pushing tin,1999
1902,wonder boys,2000
1903,jakob the liar,1999
1904,code 46,2003
1905,mean machine,2001
1906,dudley do-right,1999
1907,hollywood ending,2002
1908,freddy got fingered,2001
1909,autumn in new york,2000
1910,topsy-turvy,1999
1911,nothing to lose,1997
1912,wristcutters: a love story,2006
1913,pollock,2000
1914,peaceful warrior,2006
1915,young sherlock holmes,1985
1916,glory road,2006
1917,april fool's day,1986
1918,monsoon wedding,2001
1919,ghosts of mississippi,1996
1920,owning mahowny,2003
1921,snow day,2000
1922,my life without me,2003
1923,hope floats,1998
1924,thinner,1996
1925,bullets over broadway,1994
1926,dead man on campus,1998
1927,birth,2004
1928,money talks,1997
1929,radio days,1987
1930,celebrity,1998
1931,three to tango,1999
1932,all the pretty horses,2000
1933,legal eagles,1986
1934,instinct,1999
1935,stealing harvard,2002
1936,silent movie,1976
1937,fat albert,2004
1938,you can count on me,2000
1939,medicine man,1992
1940,in the bedroom,2001
1941,spider,2002
1942,breakin' all the rules,2004
1943,kinsey,2004
1944,the emperor's club,2002
1945,mickey blue eyes,1999
1946,mr. holland's opus,1995
1947,she's gotta have it,1986
1948,new york stories,1989
1949,bully,2001
1950,get low,2010
1951,beyond borders,2003
1952,river's edge,1986
1953,josie and the pussycats,2001
1954,mystic pizza,1988
1955,darkness,2002
1956,buffalo soldiers,2001
1957,hot rod,2007
1958,spun,2002
1959,sound of my voice,2012
1960,lucky you,2007
1961,made in dagenham,2010
1962,beyond the sea,2004
1963,julia,1977
1964,somewhere in time,1980
1965,hoffa,1992
1966,valentine,2001
1967,poolhall junkies,2002
1968,howards end,1992
1969,welcome to the dollhouse,1995
1970,birthday girl,2002
1971,at first sight,1999
1972,crazy in alabama,1999
1973,the players club,1998
1974,joyful noise,2012
1975,november,2004
1976,like mike,2002
1977,life as a house,2001
1978,my dog skip,2000
1979,shadowlands,1993
1980,exotica,1994
1981,28 days,2000
1982,sgt. bilko,1996
1983,kansas city,1996
1984,screwed,2000
1985,harvard man,2001
1986,please give,2010
1987,flawless,1999
1988,wing commander,1999
1989,joe somebody,2001
1990,loser,2000
1991,all that jazz,1979
1992,nicholas nickleby,2002
1993,redbelt,2008
1994,king's ransom,2005
1995,orgazmo,1997
1996,8 heads in a duffel bag,1997
1997,strange wilderness,2008
1998,cradle will rock,1999
1999,frozen river,2008
2000,duma,2005
2001,thumbsucker,2005
2002,freeway,1996
2003,little voice,1998
2004,harriet the spy,1996
2005,rugrats in paris: the movie,2000
2006,they,2002
2007,da sweet blood of jesus,2015
2008,waiting for guffman,1997
2009,mumford,1999
2010,eye of the beholder,1999
2011,modern problems,1981
2012,pieces of april,2003
2013,hedwig and the angry inch,2001
2014,sunshine state,2002
2015,clay pigeons,1998
2016,cecil b. demented,2000
2017,vera drake,2004
2018,soul food,1997
2019,uhf,1989
2020,catch a fire,2006
2021,superstar,1999
2022,home for the holidays,1995
2023,eye for an eye,1996
2024,book of shadows: blair witch 2,2000
2025,better luck tomorrow,2002
2026,"new york, new york",1977
2027,you got served,2004
2028,damsels in distress,2012
2029,summer of sam,1999
2030,house party 2,1991
2031,all the real girls,2003
2032,city hall,1996
2033,last orders,2001
2034,welcome to collinwood,2002
2035,nurse betty,2000
2036,woman on top,2000
2037,the chumscrubber,2005
2038,head of state,2003
2039,troop beverly hills,1989
2040,sorority boys,2002
2041,trees lounge,1996
2042,nothing,2004
2043,bless the child,2000
2044,slacker,1991
2045,here on earth,2000
2046,down to you,2000
2047,in dreams,1999
2048,robin and marian,1976
2049,how to deal,2003
2050,gentlemen broncos,2009
2051,de-lovely,2004
2052,pootie tang,2001
2053,dear frankie,2004
2054,mommie dearest,1981
2055,rocket singh: salesman of the year,2009
2056,ripley's game,2002
2057,say it isn't so,2001
2058,all or nothing,2002
2059,psycho beach party,2000
2060,imaginary heroes,2004
2061,elsa & fred,2014
2062,my fellow americans,1996
2063,snow falling on cedars,1999
2064,iris,2001
2065,idlewild,2006
2066,knock off,1998
2067,benji,1974
2068,3 ninjas kick back,1994
2069,one true thing,1998
2070,meteor,1979
2071,the crew,2000
2072,in the company of men,1997
2073,roll bounce,2005
2074,albino alligator,1997
2075,hollywood shuffle,1987
2076,smoke signals,1998
2077,what planet are you from?,2000
2078,two can play that game,2001
2079,duets,2000
2080,juwanna mann,2002
2081,bamboozled,2000
2082,whipped,2000
2083,rabbit-proof fence,2002
2084,"yours, mine and ours",1968
2085,grand theft parsons,2003
2086,being julia,2004
2087,double take,2001
2088,crooklyn,1994
2089,bella,2006
2090,1776,1972
2091,high heels and low lifes,2001
2092,saint ralph,2004
2093,raise the titanic,1980
2094,bats,1999
2095,beloved,1998
2096,aqua teen hunger force colon movie film for theaters,2007
2097,jonah: a veggietales movie,2002
2098,next stop wonderland,1998
2099,ararat,2002
2100,clockwatchers,1997
2101,eve's bayou,1997
2102,real women have curves,2002
2103,metropolitan,1990
2104,love and death on long island,1997
2105,chuck & buck,2000
2106,deuces wild,2002
2107,love and other catastrophes,1996
2108,twin falls idaho,1999
2109,chairman of the board,1998
2110,felicia's journey,1999
2111,"dancer, texas pop. 81",1998
2112,walking and talking,1996
2113,hurricane streets,1997
2114,shanghai surprise,1986
